path,label
D:\\zainab\\forgery-detector\\data\\ela_cache\69_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\70_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\71_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\72_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\73_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\74_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\75_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\76_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\77_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\78_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\79_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\80_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\81_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\82_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\83_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\84_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\85_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\86_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\87_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\88_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\89_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\90_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\91_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\92_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\93_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\94_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\95_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\96_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\97_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\98_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\99_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\100_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\101_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\102_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\103_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\104_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\105_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\106_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\107_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\108_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\109_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\110_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\111_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\112_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\113_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\114_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\115_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\116_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\117_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\118_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\119_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\120_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\121_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\122_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\123_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\124_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\125_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\126_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\127_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\128_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\129_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\130_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\131_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\132_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\133_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\134_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\135_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\136_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\137_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\138_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\139_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\140_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\141_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\142_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\143_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\144_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\145_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\146_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\147_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\148_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\149_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\150_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\151_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\152_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\153_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\154_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\155_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\156_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\157_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\158_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\159_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\160_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\161_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\162_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\163_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\164_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\165_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\166_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\167_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\168_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\169_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\170_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\171_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\172_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\173_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\174_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\175_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\176_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\177_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\178_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\179_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\180_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\181_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\182_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\183_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\184_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\185_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\186_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\187_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\188_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\189_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\190_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\191_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\192_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\193_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\194_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\195_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\196_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\197_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\198_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\199_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\200_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\201_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\202_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\203_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\204_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\205_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\206_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\207_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\208_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\209_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\210_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\211_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\212_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\213_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\214_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\215_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\216_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\217_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\218_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\219_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\220_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\221_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\222_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\223_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\224_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\225_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\226_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\227_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\228_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\229_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\230_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\231_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\232_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\233_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\234_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\235_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\236_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\237_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\238_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\239_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\240_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\241_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\242_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\243_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\244_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\245_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\246_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\247_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\248_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\249_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\250_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\251_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\252_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\253_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\254_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\255_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\256_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\257_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\258_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\259_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\260_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\261_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\262_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\263_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\264_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\265_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\266_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\267_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\268_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\269_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\270_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\271_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\272_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\273_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\274_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\275_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\276_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\277_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\278_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\279_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\280_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\281_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\282_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\283_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\284_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\285_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\286_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\287_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\288_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\289_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\290_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\291_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\292_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\293_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\294_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\295_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\296_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\297_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\298_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\299_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\300_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\301_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\302_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\303_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\304_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\305_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\306_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\307_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\308_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\309_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\310_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\311_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\312_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\313_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\314_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\315_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\316_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\317_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\318_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\319_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\320_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\321_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\322_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\323_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\324_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\325_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\326_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\327_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\328_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\329_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\330_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\331_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\332_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\333_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\334_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\335_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\336_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\337_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\338_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\339_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\340_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\341_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\342_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\343_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\344_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\345_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\346_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\347_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\348_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\349_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\350_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\351_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\352_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\353_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\354_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\355_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\356_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\357_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\358_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\359_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\360_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\361_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\362_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\363_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\364_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\365_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\366_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\367_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\368_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\369_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\370_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\371_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\372_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\373_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\374_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\375_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\376_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\377_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\378_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\379_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\380_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\381_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\382_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\383_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\384_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\385_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\386_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\387_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\388_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\389_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\390_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\391_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\392_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\393_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\394_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\395_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\396_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\397_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\398_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\399_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\400_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\401_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\402_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\403_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\404_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\405_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\406_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\407_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\408_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\409_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\410_1.png,1
